food_item,calories,protein,carbs,fats,saturated_fat,fiber,category,type
Corn n Cheese (Personal),432.6,17.91,65.64,10.93,5.14,3.85,All Meals,veg
Country Feast (Personal),407.6,16.73,67.11,8.03,3.24,7.19,All Meals,veg
Double Cheese (Personal),423.33,18.26,59.97,12.27,5.23,3.49,All Meals,veg
Double Paneer Supreme (Personal),474.03,20.07,52.86,20.26,9.25,3.79,All Meals,veg
Farmer`s Pick (Personal),408.16,19.91,53.93,12.53,4.9,2.46,All Meals,veg
Margherita (Personal),361.73,15.93,50.69,10.58,3.86,4.08,All Meals,veg
Spiced Paneer (Personal),408.01,21.68,47.54,14.57,8.02,6.92,All Meals,veg
Tandoori Onion (Personal),410.16,15.08,57.14,13.48,4.52,1.33,All Meals,veg
Tandoori Paneer (Personal),532.08,17.82,76.38,17.25,6.67,7.07,All Meals,veg
Veg Exotica (Personal),363.05,13.66,55.12,9.77,3.92,4.28,All Meals,veg
Veg Kebab Surprise (Personal),520.4,24.62,63.12,18.83,6.81,5.56,All Meals,veg
Veggie Feast (Personal),408.06,17.75,60.57,10.53,4.12,4.24,All Meals,veg
Veggie Lover (Personal),411.72,17.2,56.6,12.94,5.32,3.66,All Meals,veg
Veggie Supreme (Personal),426.59,17.75,55.39,14.42,5.52,4.43,All Meals,veg
Veggie Tandoori (Personal),432.21,13.98,58.12,15.98,5.36,2.0,All Meals,veg
Momo Mia Veg (Personal),510.19,19.88,65.21,18.87,8.23,9.34,All Meals,veg
Momo Mia Chicken (Personal),516.63,22.56,64.02,18.93,7.93,9.03,All Meals,non-veg
Chicken n Corn Delight (Personal),421.56,20.75,57.38,12.11,5.11,5.84,All Meals,non-veg
Chicken Pepper Crunch (Personal),447.43,21.32,50.59,17.76,7.45,5.86,All Meals,non-veg
Chicken Pepperoni (Personal),439.17,14.85,50.41,19.79,7.79,4.74,All Meals,non-veg
Chicken Sausage (Personal),443.02,17.98,48.93,19.48,8.03,4.68,All Meals,non-veg
Chicken Supreme (Personal),445.19,23.87,47.37,17.78,6.66,5.18,All Meals,non-veg
Chicken Tikka Supreme (Personal),434.67,22.49,49.46,16.32,6.16,4.31,All Meals,non-veg
Double Chicken Sausage (Personal),445.29,18.37,49.32,19.39,7.2,5.05,All Meals,non-veg
Italian Chicken Feast (Personal),449.4,20.08,53.52,17.22,6.38,5.34,All Meals,non-veg
Malai Chicken Tikka (Personal),425.45,21.62,53.99,13.67,6.06,3.9,All Meals,non-veg
Spiced Chicken Meatball (Personal),394.79,20.84,46.12,14.11,6.88,6.64,All Meals,non-veg
Triple Chicken Feast (Personal),424.46,24.15,50.12,22.76,9.25,4.88,All Meals,non-veg
Chicken Tikka (Personal),394.73,17.56,48.43,14.53,6.18,6.83,All Meals,non-veg
Veggie Tandoori (Medium),563.14,18.22,75.72,20.82,6.98,2.6,All Meals,non-veg
Momo Mia Veg (Medium),627.36,24.44,80.18,23.21,10.13,11.49,All Meals,veg
Corn n Cheese (Medium),557.7,23.09,84.62,14.1,6.62,4.96,All Meals,veg
Country Feast (Medium),542.71,22.28,89.35,10.69,4.31,9.57,All Meals,veg
Double Cheese (Medium),542.58,23.41,76.86,15.72,6.7,4.48,All Meals,veg
Double Paneer Supreme (Medium),607.41,25.71,67.73,25.96,11.85,4.85,All Meals,veg
Farmer`s Pick (Medium),528.07,25.76,69.78,16.21,6.34,3.18,All Meals,veg
Margherita (Medium),459.03,20.22,64.32,13.43,4.9,5.18,All Meals,veg
Spiced Paneer (Medium),532.754,28.31,62.08,19.02,10.48,9.04,All Meals,veg
Tandoori Onion (Medium),523.36,19.24,72.91,17.19,5.77,1.69,All Meals,veg
Tandoori Paneer (Medium),682.97,22.88,98.04,22.15,8.56,9.07,All Meals,veg
Veg Exotica (Medium),455.67,17.14,69.19,12.26,4.92,5.37,All Meals,veg
Veg Kebab Surprise (Medium),689.23,32.61,83.59,24.94,9.02,7.37,All Meals,veg
Veggie Feast (Medium),532.89,23.18,79.1,13.75,5.39,5.53,All Meals,non-veg
Veggie Lover (Medium),536.92,22.43,73.81,16.88,6.94,4.77,All Meals,non-veg
Veggie Supreme (Medium),550.26,22.89,71.45,18.6,7.12,5.72,All Meals,non-veg
Chicken n Corn Delight (Medium),444.9,21.7,58.79,13.66,5.34,2.68,All Meals,non-veg
Chicken Pepper Crunch (Medium),591.94,28.21,66.92,23.49,9.86,7.76,All Meals,non-veg
Chicken Pepperoni (Medium),561.68,18.99,64.48,25.31,9.96,6.07,All Meals,non-veg
Chicken Sausage (Medium),567.29,23.03,62.66,24.95,10.28,5.99,All Meals,non-veg
Chicken Supreme (Medium),585.84,31.42,62.33,23.4,8.76,6.81,All Meals,non-veg
Chicken Tikka Supreme (Medium),563.43,29.16,64.11,21.15,7.98,5.59,All Meals,non-veg
Double Chicken Sausage (Medium),568.53,23.45,62.97,24.76,9.2,6.45,All Meals,non-veg
Italian Chicken Feast (Medium),561.95,25.11,66.92,21.53,7.97,6.67,All Meals,non-veg
Malai Chicken Tikka (Medium),547.62,27.83,69.49,17.59,7.8,5.02,All Meals,non-veg
Spiced Chicken Meatball (Medium),505.95,26.71,59.1,18.08,8.81,8.51,All Meals,non-veg
Triple Chicken Feast (Medium),554.98,31.57,65.53,29.75,12.09,6.38,All Meals,non-veg
Chicken Tikka (Medium),588.84,26.19,72.25,21.67,9.22,10.19,All Meals,non-veg
Momo Mia Chicken (Medium),634.16,27.69,78.58,23.23,9.74,11.09,All Meals,non-veg
Corn n Cheese (Personal),332.61,15.12,44.5,10.46,4.13,2.85,All Meals,veg
Country Feast (Personal),376.45,16.44,58.33,8.6,3.32,5.65,All Meals,veg
Double Cheese (Personal),370.43,15.66,50.55,11.73,5.57,2.99,All Meals,veg
Double Paneer Supreme (Personal),414.59,18.35,45.34,17.76,9.31,3.3,All Meals,veg
Farmer`s Pick (Personal),361.77,17.29,46.87,11.63,3.88,2.21,All Meals,veg
Margherita (Personal),311.42,13.31,43.01,9.57,4.16,3.32,All Meals,veg
Spiced Paneer (Personal),359.58,19.1,41.31,13.1,6.22,5.84,All Meals,veg
Tandoori Onion (Personal),365.21,13.74,49.59,12.43,4.59,1.54,All Meals,veg
Tandoori Paneer (Personal),477.47,16.64,66.75,15.99,8.08,5.77,All Meals,veg
Veg Exotica (Personal),335.82,13.77,49.08,9.38,3.18,3.61,All Meals,veg
Veg Kebab Surprise (Personal),472.77,21.95,56.18,17.81,8.11,4.74,All Meals,veg
Veggie Feast (Personal),362.03,15.82,52.4,9.91,3.76,3.95,All Meals,non-veg
Veggie Lover (Personal),390.8,16.07,53.27,12.6,4.98,3.19,All Meals,non-veg
Veggie Supreme (Personal),382.29,16.7,48.88,13.33,5.79,3.73,All Meals,non-veg
Veggie Tandoori (Personal),388.81,13.23,51.14,14.59,6.22,2.22,All Meals,non-veg
Chicken n Corn Delight (Personal),310.91,15.82,38.81,10.37,4.22,3.05,All Meals,non-veg
Chicken Pepper Crunch (Personal),388.89,18.54,43.38,15.69,6.53,4.82,All Meals,non-veg
Chicken Pepperoni (Personal),385.35,14.12,44.11,16.93,6.63,3.89,All Meals,non-veg
Chicken Sausage (Personal),374.33,15.29,41.54,16.34,6.69,4.07,All Meals,non-veg
Chicken Supreme (Personal),1309.75,20.55,41.48,15.28,6.06,4.09,All Meals,non-veg
Chicken Tikka Supreme (Personal),405.84,20.24,47.19,15.09,6.1,3.52,All Meals,non-veg
Double Chicken Sausage (Personal),386.9,15.41,41.64,17.63,7.19,3.79,All Meals,non-veg
Italian Chicken Feast (Personal),407.76,18.83,47.06,16.02,6.26,5.2,All Meals,non-veg
Malai Chicken Tikka (Personal),385.98,18.69,48.24,13.14,5.75,3.2,All Meals,non-veg
Spiced Chicken Meatball (Personal),354.86,17.99,40.58,13.4,5.23,5.29,All Meals,non-veg
Triple Chicken Feast (Personal),462.99,21.7,48.22,20.17,8.36,4.65,All Meals,non-veg
Chicken Tikka (Personal),407.65,18.15,48.93,15.48,6.92,6.78,All Meals,non-veg
Veggie Tandoori (Medium),480.3,16.35,63.17,18.03,7.68,2.74,All Meals,non-veg
Corn n Cheese (Medium),406.53,18.48,54.39,12.78,5.05,3.48,All Meals,veg
Country Feast (Medium),481.67,21.03,74.63,11.0,4.24,7.23,All Meals,veg
Double Cheese (Medium),443.92,18.77,60.58,14.06,6.67,3.58,All Meals,veg
Double Paneer Supreme (Medium),507.01,22.44,55.45,21.72,11.39,4.03,All Meals,veg
Farmer`s Pick (Medium),454.66,21.72,58.91,14.62,4.87,2.77,All Meals,veg
Margherita (Medium),369.29,15.79,51.0,11.35,4.93,3.94,All Meals,veg
Spiced Paneer (Medium),446.9,23.73,51.35,16.29,7.73,7.26,All Meals,veg
Tandoori Onion (Medium),440.04,16.55,59.76,14.98,5.53,1.85,All Meals,veg
Tandoori Paneer (Medium),586.42,20.44,81.98,19.64,9.92,7.08,All Meals,veg
Veg Exotica (Medium),401.67,16.47,58.71,11.22,3.81,4.32,All Meals,veg
Veg Kebab Surprise (Medium),603.65,28.02,71.73,22.74,10.35,6.06,All Meals,veg
Veggie Feast (Medium),450.64,19.69,65.22,12.34,4.68,4.91,All Meals,non-veg
Veggie Lover (Medium),486.61,20.01,66.33,15.69,6.2,3.98,All Meals,non-veg
Veggie Supreme (Medium),473.08,20.67,60.49,16.49,7.17,4.61,All Meals,non-veg
Chicken n Corn Delight (Medium),392.84,19.99,49.03,13.11,5.33,3.85,All Meals,non-veg
Chicken Pepper Crunch (Medium),492.59,23.48,54.95,19.87,8.27,6.1,All Meals,non-veg
Chicken Pepperoni (Medium),466.92,17.11,53.45,20.52,8.03,4.71,All Meals,non-veg
Chicken Sausage (Medium),451.49,18.44,50.1,19.7,8.07,4.91,All Meals,non-veg
Chicken Supreme (Medium),485.2,25.86,52.18,19.23,7.62,5.15,All Meals,non-veg
Chicken Tikka Supreme (Medium),490.49,24.47,57.03,18.24,7.37,4.26,All Meals,non-veg
Double Chicken Sausage (Medium),466.64,18.58,50.23,21.27,8.67,4.57,All Meals,non-veg
Italian Chicken Feast (Medium),485.05,22.4,55.98,19.06,7.44,6.19,All Meals,non-veg
Malai Chicken Tikka (Medium),473.47,22.93,59.17,16.12,7.05,3.92,All Meals,non-veg
Spiced Chicken Meatball (Medium),432.56,21.93,49.47,16.33,6.38,6.45,All Meals,non-veg
Triple Chicken Feast (Medium),583.99,27.37,60.83,25.44,10.55,5.86,All Meals,non-veg
Chicken Tikka (Medium),516.89,23.01,62.04,19.63,8.77,8.59,All Meals,non-veg
Cheese Maxx (Personal),147.38,5.17,4.05,12.27,6.79,0.24,All Meals,veg
Veg kebab (Personal),192.02,5.86,13.73,12.63,3.58,0.71,All Meals,veg
Chicken Seekh Kebab (Personal),194.67,8.03,7.16,14.88,3.91,0.55,All Meals,non-veg
Cheese Maxx (Medium),149.37,4.97,4.04,12.59,6.94,0.22,All Meals,veg
Veg kebab (Medium),202.06,6.12,14.33,13.36,3.78,0.72,All Meals,veg
Chicken Seekh Kebab (Medium),204.75,8.42,7.37,15.73,4.13,0.55,All Meals,non-veg
Classic Paneer Capsicum & Onion,443.87,12.87,57.4,18.09,4.87,10.9,All Meals,veg
Schezwan Meatball & Capsicum,401.27,10.44,50.98,17.29,3.24,9.75,All Meals,non-veg
Spicy Baked Chicken Wings,140.22,14.12,6.77,8.7,2.56,1.69,All Meals,non-veg
Garlic Bread,246.73,3.58,18.45,17.63,8.96,2.14,All Meals,veg
Garlic Bread Spicy Supreme,270.17,5.27,29.21,14.7,9.99,2.7,All Meals,veg
Cheesy Comfort (Veg),332.02,18.81,28.68,15.78,6.19,3.3,All Meals,veg
Cheesy Comfort (Chicken),439.02,20.35,29.6,26.58,10.74,4.01,All Meals,non-veg
Indi Rockin Roll - Veg,289.81,11.81,28.58,14.25,6.02,2.35,All Meals,veg
Indi Rockin Roll - Chicken,255.65,12.32,27.07,10.9,4.64,2.41,All Meals,non-veg
Zesty Pocket (Veg),192.91,5.7,22.1,9.08,4.22,1.94,All Meals,veg
Zesty Pocket (Chicken),157.99,6.97,18.01,6.45,1.96,1.81,All Meals,non-veg
Baked Momos (Veg),218.975,6.1,17.99,13.62,5.16,3.62,All Meals,veg
Baked Momos (Chicken),223.71,9.94,15.72,13.45,4.85,2.95,All Meals,non-veg
Tear and Share (Veg),424.82,14.65,45.21,20.6,6.36,3.05,All Meals,veg
Tear and Share (Chicken),442.46,18.47,48.92,19.22,5.88,3.63,All Meals,non-veg
Choco Vanilla Romance,90.48,1.36,17.93,1.62,1.21,0.45,All Meals,veg
Ebony & Ivory,201.84,1.38,34.73,6.52,4.79,2.15,All Meals,veg
Choco Chip Cookie Sundae (Regular),433.72,6.39,68.66,15.12,10.36,3.59,All Meals,veg
Jamuntini,134.0,0.21,32.18,0.38,0.04,0.14,All Meals,veg
Masal Pepsi,126.5,0.21,30.93,0.38,0.04,0.14,All Meals,veg
Masala Mirinda,156.5,0.21,38.18,0.38,0.04,0.14,All Meals,veg
Pepsi,107.5,0.0,27.25,0.0,0.0,0.0,All Meals,veg
7 up,115.0,0.0,28.5,0.0,0.0,0.0,All Meals,veg
Mirinda,137.5,0.0,34.5,0.0,0.0,0.0,All Meals,veg
Lipton Ice Tea Lemon Flavoured,0.0,0.0,0.0,0.0,0.0,0.0,All Meals,veg
Pepsi Black,74.0,0.0,18.6,0.0,0.0,0.0,All Meals,veg
Crispy veg,426.7,8.4,52.0,20.6,7.2,8.0,All Meals,veg
BK veggie,398.2,8.6,52.4,17.2,5.8,11.0,All Meals,non-veg
Veg Chilli Cheese,422.6,11.6,50.6,19.3,8.1,10.0,All Meals,veg
Paneer king,525.8,14.0,67.1,22.4,10.4,10.0,All Meals,veg
Veg Supreme,374.1,11.5,49.2,16.5,5.0,7.0,All Meals,veg
Veg Surprise,385.1,10.3,51.7,15.3,8.7,5.0,All Meals,veg
Veg Whopper,749.0,11.0,100.6,31.4,16.0,12.0,All Meals,veg
Masala Whopper Veg,753.2,19.0,94.7,33.2,13.5,8.0,All Meals,veg
BK Grill,332.1,15.3,36.7,13.8,6.2,10.0,All Meals,veg
Chicken Tandoori Grill,369.1,24.1,35.5,14.6,3.6,4.0,All Meals,non-veg
Chicken Chilli Cheese,406.1,16.8,47.9,16.4,7.6,7.0,All Meals,non-veg
Chicken kheema,369.1,12.1,45.8,15.3,5.7,12.0,All Meals,non-veg
Crispy chicken,345.2,12.4,39.0,15.5,7.1,9.0,All Meals,non-veg
Xtra Long chicken,533.5,23.4,61.1,21.7,5.6,7.0,All Meals,non-veg
Chicken whopper,662.0,33.2,60.3,38.3,29.8,8.0,All Meals,non-veg
Mutton Whopper,624.2,12.5,71.0,30.4,24.3,7.0,All Meals,non-veg
Fiery chicken (South),400.0,22.9,61.7,16.2,9.5,8.0,All Meals,non-veg
Fiery Chicken (North & West),409.1,23.1,61.9,18.1,8.7,9.0,All Meals,non-veg
Masala Whopper Chicken,664.9,33.3,68.0,28.9,11.5,7.0,All Meals,non-veg
Masala Whopper Mutton,631.4,29.3,69.3,26.4,15.3,6.0,All Meals,non-veg
Chicken fries 5 pcs,206.0,10.9,19.9,9.2,4.4,10.0,All Meals,non-veg
Chicken fries 9 pcs,370.7,19.6,35.8,16.6,8.0,10.0,All Meals,non-veg
Chicken wings Fried ( 2Pcs),167.5,17.7,0.9,10.3,4.0,inf,All Meals,non-veg
Chicken wings Fried ( 4Pcs),332.8,35.2,1.8,20.5,8.0,inf,All Meals,non-veg
Chicken wings Fried ( 8Pcs),665.7,70.4,3.6,41.1,15.9,inf,All Meals,non-veg
Chicken wings Fried ( 15Pcs),1224.0,129.4,6.6,75.5,29.3,inf,All Meals,non-veg
Chicken wings Grilled ( 2Pcs),167.5,13.8,18.1,4.4,1.3,inf,All Meals,non-veg
Chicken wings Grilled ( 4Pcs),335.0,27.7,36.2,8.8,2.6,inf,All Meals,non-veg
Chicken wings Grilled ( 8Pcs),669.9,55.4,72.4,17.7,5.2,inf,All Meals,non-veg
Chicken wings Grilled ( 15Pcs),1275.5,105.4,137.8,33.6,9.9,inf,All Meals,non-veg
Fiery Rings 2Pcs,137.6,3.5,18.0,5.7,2.7,16.0,All Meals,veg
Fiery Rings 4Pcs,275.3,7.0,36.0,11.5,5.4,16.0,All Meals,veg
Veg strips 3 Pcs,136.6,2.7,16.7,6.5,3.1,9.0,All Meals,veg
Veg strips 6 Pcs,273.2,6.2,33.5,5.4,13.1,9.0,All Meals,veg
Potato Tots 8 Pcs,155.9,2.6,21.0,7.1,3.2,19.0,All Meals,veg
Fries Regular,263.9,4.4,37.7,10.6,4.9,42.0,All Meals,veg
Medium Fries,406.6,7.5,58.1,6.8,16.3,42.0,All Meals,veg
King fries,535.0,9.9,76.5,8.9,21.5,42.0,All Meals,veg
Cheesy fries,460.9,8.1,56.2,22.6,8.7,9.0,All Meals,veg
Cheesy Italian fries,530.9,10.8,63.0,26.1,26.1,6.0,All Meals,veg
Chicken keema Fries,541.4,15.3,55.9,28.5,10.0,9.0,All Meals,non-veg
"Sausage, Egg & Cheddar Classic Breakfast Sandwich",500.0,15.0,41.0,28.0,9.0,1.0,Hot Breakfast,non-veg
"Reduced-Fat Turkey-Style Bacon, Cheddar & Egg White
Breakfast Sandwich",230.0,13.0,28.0,6.0,2.5,2.0,Hot Breakfast,non-veg
"Bacon, Gouda & Egg on Artisan Roll",350.0,17.0,30.0,18.0,7.0,0.0,Hot Breakfast,non-veg
"Spinach, Feta & Egg White Breakfast Wrap",290.0,19.0,33.0,10.0,3.5,6.0,Hot Breakfast,non-veg
"Roasted Ham, Swiss & Egg on Croissant Bun",450.0,19.0,42.0,23.0,12.0,1.0,Hot Breakfast,non-veg
Egg & Cheddar on English Muffin,280.0,12.0,27.0,13.0,5.0,2.0,Hot Breakfast,non-veg
Double Smoked Bacon,490.0,17.0,40.0,27.0,13.0,1.0,Hot Breakfast,non-veg
Whole Grain Oatmeal,160.0,5.0,28.0,2.5,0.5,4.0,Hot Breakfast,veg
Maple Brown Sugar,50.0,0.0,13.0,0.0,0.0,0.0,Hot Breakfast,veg
Dried Fruit,100.0,1.0,24.0,0.4,0.0,2.0,Hot Breakfast,veg
Nut Medley,100.0,2.0,2.0,10.0,1.0,1.0,Hot Breakfast,veg
Cherry Oat Bar,240.0,3.0,36.0,8.0,5.0,1.0,"Cookies, Brownies & Bars",veg
Double Chocolate Chunk Brownie,380.0,4.0,41.0,23.0,7.0,2.0,"Cookies, Brownies & Bars",veg
Gluten Free Marshmallow Dream Bar,240.0,2.0,45.0,5.0,3.0,0.0,"Cookies, Brownies & Bars",veg
Oat Fudge Bar,360.0,5.0,45.0,20.0,11.0,3.0,"Cookies, Brownies & Bars",veg
Blueberry Bar,250.0,4.0,35.0,13.0,6.0,3.0,"Cookies, Brownies & Bars",veg
Oat Bar,360.0,6.0,43.0,19.0,11.0,5.0,"Cookies, Brownies & Bars",veg
Chocolate Chunk Cookie,380.0,5.0,54.0,19.0,12.0,2.0,"Cookies, Brownies & Bars",veg
Gluten Free Flourless Chocolate Cookie,170.0,2.0,30.0,5.0,2.5,2.0,"Cookies, Brownies & Bars",veg
Fruit & Oat Cookie,370.0,6.0,52.0,15.0,8.0,3.0,"Cookies, Brownies & Bars",veg
Multigrain Bagel,290.0,14.0,58.0,3.0,0.0,7.0,Hot Breakfast,veg
Everything with Cheese Bagel,270.0,10.0,54.0,2.0,1.0,2.0,"Croissants, Danishes & Bagels",veg
Asiago & Cheddar Pretzel,360.0,16.0,46.0,12.0,7.0,2.0,"Croissants, Danishes & Bagels",veg
Butter Croissant,270.0,6.0,28.0,14.0,9.0,1.0,"Croissants, Danishes & Bagels",veg
Chocolate Croissant,330.0,6.0,35.0,17.0,11.0,3.0,"Croissants, Danishes & Bagels",veg
Ham & Cheese Savoury Foldover,250.0,13.0,24.0,11.0,6.0,1.0,"Croissants, Danishes & Bagels",non-veg
Pepperoni and Tomato Savoury Foldover,270.0,10.0,27.0,14.0,7.0,3.0,"Croissants, Danishes & Bagels",veg
Spinach Savoury Foldover,250.0,4.0,23.0,15.0,8.0,3.0,"Croissants, Danishes & Bagels",veg
Morning Bun,350.0,7.0,54.0,15.0,10.0,2.0,"Croissants, Danishes & Bagels",veg
Cheese Danish,300.0,6.0,35.0,15.0,10.0,1.0,"Croissants, Danishes & Bagels",veg
Baa Loaf,380.0,5.0,52.0,17.0,3.0,2.0,"Loaves, Coffee Cakes & Cake Pops",veg
Lemon Loaf,430.0,6.0,57.0,20.0,6.0,1.0,"Loaves, Coffee Cakes & Cake Pops",veg
Reduced Fat Cinnamon Swirl Coffee Cake,370.0,5.0,67.0,9.0,4.5,2.0,"Loaves, Coffee Cakes & Cake Pops",veg
Birthday Cake Pop,180.0,1.0,24.0,9.0,5.0,0.0,"Loaves, Coffee Cakes & Cake Pops",veg
Blueberry Yogurt and Honey Muffin,380.0,6.0,53.0,16.0,4.0,1.0,"Loaves, Coffee Cakes & Cake Pops",veg
Blueberry Scone,360.0,5.0,50.0,15.0,9.0,2.0,"Loaves, Coffee Cakes & Cake Pops",veg
Cranberry Orange Scone,420.0,6.0,64.0,15.0,9.0,1.0,"Loaves, Coffee Cakes & Cake Pops",veg
Pumpkin Cream Cheese Muffin,350.0,5.0,53.0,14.0,4.0,1.0,Seasonal Bakery Offerings,veg
Pumpkin Bread,410.0,6.0,63.0,15.0,2.5,2.0,Seasonal Bakery Offerings,veg
Pumpkin Scone,450.0,4.0,64.0,21.0,14.0,2.0,Seasonal Bakery Offerings,veg
Apple Poundcake,360.0,5.0,44.0,18.0,10.0,2.0,Seasonal Bakery Offerings,veg
Pumpkin Sugar Cookie,330.0,4.0,37.0,19.0,12.0,0.0,Seasonal Bakery Offerings,veg
Pecan Tart,330.0,4.0,39.0,18.0,8.0,1.0,Seasonal Bakery Offerings,veg
Greek Yogurt & Honey Parfait,310.0,13.0,36.0,12.0,6.0,2.0,Fruit & Yogurt,veg
Strawberry Blueberry Yogurt Parfait,310.0,10.0,51.0,5.0,1.0,3.0,Fruit & Yogurt,veg
Seasonal Fruit Cup,80.0,1.0,20.0,0.0,0.0,3.0,Fruit & Yogurt,veg
McVeggie™ Burger,402.05,10.24,56.54,13.83,5.34,2.0,REGULAR MENU,non-veg
McAloo Tikki Burger®,339.52,8.5,50.27,11.31,4.27,2.0,REGULAR MENU,veg
McSpicy™ Paneer Burger,652.76,20.29,52.33,39.45,17.12,3.0,REGULAR MENU,veg
Spicy Paneer Wrap,674.68,20.96,59.27,39.1,19.73,3.0,REGULAR MENU,veg
American Veg Burger,512.17,15.3,56.96,23.45,10.51,3.0,REGULAR MENU,veg
Veg Maharaja Mac,832.67,24.17,93.84,37.94,16.83,3.0,REGULAR MENU,veg
Green Chilli Aloo Naan,356.09,7.91,46.36,15.08,6.11,3.0,REGULAR MENU,veg
Pizza Puff,228.21,5.45,24.79,11.44,5.72,3.0,REGULAR MENU,veg
Mc chicken Burger,400.8,15.66,47.98,15.7,5.47,2.0,REGULAR MENU,non-veg
FILLET-O-FISH Burger,348.11,15.44,38.85,14.16,5.79,3.0,REGULAR MENU,non-veg
Mc Spicy Chicken Burger,451.92,21.46,46.08,19.36,7.63,2.0,REGULAR MENU,non-veg
Spicy Chicken Wrap,567.19,23.74,57.06,26.89,12.54,2.0,REGULAR MENU,non-veg
Chicken Maharaja Mac,689.12,34.0,55.39,36.69,10.33,2.0,REGULAR MENU,non-veg
American Chicken Burger,446.95,20.29,38.54,22.94,7.28,3.0,REGULAR MENU,non-veg
Chicken Kebab Burger,357.05,8.64,47.9,14.02,4.84,3.0,REGULAR MENU,non-veg
Green Chilli Kebab naan,230.95,5.67,31.06,9.32,3.27,2.0,REGULAR MENU,veg
Mc Egg Masala Burger,290.42,12.45,32.89,12.27,3.64,2.0,REGULAR MENU,non-veg
Mc Egg Burger for Happy Meal,282.98,12.29,31.32,12.21,3.63,2.0,REGULAR MENU,non-veg
Ghee Rice with Mc Spicy Fried Chicken 1 pc,720.3,26.91,77.47,29.2,5.08,2.0,REGULAR MENU,non-veg
McSpicy Fried Chicken 1 pc,248.76,17.33,12.7,14.29,2.82,2.0,REGULAR MENU,non-veg
4 piece Chicken McNuggets,169.68,10.03,10.5,9.54,4.45,3.0,REGULAR MENU,non-veg
6 piece Chicken McNuggets,254.52,15.04,15.74,14.3,6.68,3.0,REGULAR MENU,non-veg
9 piece Chicken McNuggets,381.77,22.56,23.62,21.46,10.02,3.0,REGULAR MENU,non-veg
2 piece Chicken Strips,164.44,10.17,2.68,12.38,11.41,3.0,REGULAR MENU,non-veg
3 piece Chicken Strips,246.65,15.26,4.02,18.57,17.12,3.0,REGULAR MENU,non-veg
5 piece Chicken Strips,411.09,25.43,0.73,28.54,0.15,3.0,REGULAR MENU,non-veg
Regular Fries,224.59,3.38,27.08,10.39,4.97,3.0,REGULAR MENU,veg
Medium Fries,317.92,4.79,38.34,14.7,7.04,3.0,REGULAR MENU,veg
